ticker,instrument_token
ABB,3329
ACC,5633
APLAPOLLO,6599681
AUBANK,5436929
AARTIIND,1793
ADANIENSOL,2615553
ADANIENT,6401
ADANIGREEN,912129
ADANIPORTS,3861249
ATGL,1552897
ABCAPITAL,5533185
ABFRL,7707649
ALKEM,2995969
AMBUJACEM,325121
ANGELONE,82945
APOLLOHOSP,40193
APOLLOTYRE,41729
ASHOKLEY,54273
ASIANPAINT,60417
ASTRAL,3691009
AUROPHARMA,70401
DMART,5097729
AXISBANK,1510401
BSOFT,1790465
BSE,5013761
BAJAJ-AUTO,4267265
BAJFINANCE,81153
BAJAJFINSV,4268801
BALKRISIND,85761
BANDHANBNK,579329
BANKBARODA,1195009
BANKINDIA,1214721
BERGEPAINT,103425
BEL,98049
BHARATFORG,108033
BHEL,112129
BPCL,134657
BHARTIARTL,2714625
BIOCON,2911489
BOSCHLTD,558337
BRITANNIA,140033
CESC,160769
CGPOWER,194561
CANBK,2763265
CDSL,5420545
CHAMBLFERT,163073
CHOLAFIN,175361
CIPLA,177665
COALINDIA,5215745
COFORGE,2955009
COLPAL,3876097
CAMS,87553
CONCOR,1215745
CROMPTON,4376065
CUMMINSIND,486657
CYIENT,1471489
DLF,3771393
DABUR,197633
DALBHARAT,2067201
DEEPAKNTR,5105409
DELHIVERY,2457345
DIVISLAB,2800641
DIXON,5552641
DRREDDY,225537
EICHERMOT,232961
ESCORTS,245249
EXIDEIND,173057
NYKAA,1675521
GAIL,1207553
GMRAIRPORT,3463169
GLENMARK,1895937
GODREJCP,2585345
GODREJPROP,4576001
GRANULES,3039233
GRASIM,315393
HCLTECH,1850625
HDFCAMC,1086465
HDFCBANK,341249
HDFCLIFE,119553
HFCL,5619457
HAVELLS,2513665
HEROMOTOCO,345089
HINDALCO,348929
HAL,589569
HINDCOPPER,4592385
HINDPETRO,359937
HINDUNILVR,356865
HINDZINC,364545
HUDCO,5331201
ICICIBANK,1270529
ICICIGI,5573121
ICICIPRULI,4774913
IDFCFIRSTB,2863105
IIFL,3023105
IRB,3920129
ITC,424961
INDIANB,3663105
IEX,56321
IOC,415745
IRCTC,3484417
IRFC,519425
IREDA,5186817
IGL,2883073
INDUSTOWER,7458561
INDUSINDBK,1346049
NAUKRI,3520257
INFY,408065
INOXWIND,2010113
INDIGO,2865921
JSWENERGY,4574465
JSWSTEEL,3001089
JSL,2876417
JINDALSTEL,1723649
JIOFIN,4644609
JUBLFOOD,4632577
KEI,3407361
KPITTECH,2478849
KALYANKJIL,756481
KOTAKBANK,492033
LTF,6386689
LICHSGFIN,511233
LTIM,4561409
LT,2939649
LAURUSLABS,4923905
LICI,2426881
LUPIN,2672641
MRF,582913
LODHA,824321
MGL,4488705
M&MFIN,3400961
M&M,519937
MANAPPURAM,4879617
MARICO,1041153
MARUTI,2815745
MFSL,548353
MAXHEALTH,5728513
MPHASIS,1152769
MCX,7982337
MUTHOOTFIN,6054401
NBCC,8042241
NCC,593665
NHPC,4454401
NMDC,3924993
NTPC,2977281
NATIONALUM,1629185
NESTLEIND,4598529
OBEROIRLTY,5181953
ONGC,633601
OIL,4464129
PAYTM,1716481
OFSS,2748929
POLICYBZR,1703937
PIIND,6191105
PNBHOUSING,4840449
PAGEIND,3689729
PATANJALI,4359425
PERSISTENT,4701441
PETRONET,2905857
PIDILITIND,681985
PEL,617473
POLYCAB,2455041
POONAWALLA,2919169
PFC,3660545
POWERGRID,3834113
PRESTIGE,5197313
PNB,2730497
RBLBANK,4708097
RECLTD,3930881
RELIANCE,738561
SBICARD,4600577
SBILIFE,5582849
SHREECEM,794369
SJVN,4834049
SRF,837889
MOTHERSON,1076225
SHRIRAMFIN,1102337
SIEMENS,806401
SOLARINDS,3412993
SONACOMS,1199105
SBIN,779521
SAIL,758529
SUNPHARMA,857857
SUPREMEIND,860929
SYNGENE,2622209
TATACONSUM,878593
TITAGARH,3945985
TVSMOTOR,2170625
TATACHEM,871681
TATACOMM,952577
TCS,2953217
TATAELXSI,873217
TATAMOTORS,884737
TATAPOWER,877057
TATASTEEL,895745
TATATECH,5195009
TECHM,3465729
FEDERALBNK,261889
INDHOTEL,387073
PHOENIXLTD,3725313
RAMCOCEM,523009
TITAN,897537
TORNTPHARM,900609
TORNTPOWER,3529217
TRENT,502785
TIINDIA,79873
UPL,2889473
ULTRACEMCO,2952193
UNIONBANK,2752769
UNITDSPR,2674433
VBL,4843777
VEDL,784129
IDEA,3677697
VOLTAS,951809
WIPRO,969473
YESBANK,3050241
ZOMATO,1304833
ZYDUSLIFE,2029825